t	v
0.0	J30
4.0	J30
8.0	J30
12.0	J30
16.0	J30
20.0	J30
24.0	J30
28.0	J30
32.0	J30
36.0	J30
40.0	J30
44.0	J30
48.0	J30
52.0	J30
56.0	J30
60.0	J30
64.0	J30
68.0	J30
72.0	J30
76.0	J30
80.0	J30
84.0	J30
88.0	J30
92.0	J30
96.0	J30
100.0	J30
104.0	J30
108.0	J30
112.0	J30
116.0	J30
120.0	J30
124.0	J30
128.0	J30
132.0	J30
136.0	J30
140.0	J30
144.0	J30
148.0	J30
152.0	J30
156.0	J30
160.0	J30
164.0	J30
168.0	J30
172.0	J30
176.0	J30
180.0	J30
184.0	J30
188.0	J30
192.0	J30
196.0	J30
200.0	J30
204.0	J30
208.0	J30
212.0	J30
216.0	J30
220.0	J30
224.0	J30
228.0	J30
232.0	J30
236.0	J30
240.0	J30
244.0	J30
248.0	J30
252.0	J30
256.0	J30
260.0	J30
264.0	J30
268.0	J30
272.0	J30
276.0	J30
280.0	J30
284.0	J30
288.0	J30
292.0	J30
296.0	J30
300.0	J30
304.0	J30
308.0	J30
312.0	J30
316.0	J30
320.0	J30
324.0	J30
328.0	J30
332.0	J30
336.0	J30
340.0	J30
344.0	J30
348.0	J30
352.0	J30
356.0	J30
360.0	J30
364.0	J30
368.0	J30
372.0	J30
376.0	J30
380.0	J30
384.0	J30
388.0	J30
392.0	J30
396.0	J30
400.0	J30
404.0	J30
408.0	J30
412.0	J30
416.0	J30
420.0	J30
424.0	J30
428.0	J30
432.0	J30
436.0	J30
440.0	J30
444.0	J30
448.0	J30
452.0	J30
456.0	J30
460.0	J30
464.0	J30
468.0	J30
472.0	J30
476.0	J30
480.0	J30
484.0	J30
488.0	J30
492.0	J30
496.0	J30
500.0	J30
504.0	J30
508.0	J30
512.0	J30
516.0	J30
520.0	J30
524.0	J30
528.0	J30
532.0	J30
536.0	J30
540.0	J30
544.0	J30
548.0	J30
552.0	J30
556.0	J30
560.0	J30
564.0	J30
568.0	J30
572.0	J30
576.0	J30
580.0	J30
584.0	J30
588.0	J30
592.0	J30
596.0	J30
600.0	J30
604.0	J30
608.0	J30
612.0	J30
616.0	J30
620.0	J30
624.0	J30
628.0	J30
632.0	J30
636.0	J30
640.0	J30
644.0	J30
648.0	J30
652.0	J30
656.0	J30
660.0	J30
664.0	J30
668.0	J30
672.0	J30
676.0	J30
680.0	J30
684.0	J30
688.0	J30
692.0	J30
696.0	J30
700.0	J30
704.0	J30
708.0	J30
712.0	J30
716.0	J30
720.0	J30
724.0	J30
728.0	J30
732.0	J30
736.0	J30
740.0	J30
744.0	J30
748.0	J30
752.0	J30
756.0	J30
760.0	J30
764.0	J30
768.0	J30
772.0	J30
776.0	J30
780.0	J30
784.0	J30
788.0	J30
792.0	J30
796.0	J30
800.0	J30
804.0	J30
808.0	J30
812.0	J30
816.0	J30
820.0	J30
824.0	J30
828.0	J30
832.0	J30
836.0	J30
840.0	J30
844.0	J30
848.0	J30
852.0	J30
856.0	J30
860.0	J30
864.0	J30
868.0	J30
872.0	J30
876.0	J30
880.0	J30
884.0	J30
888.0	J30
892.0	J30
896.0	J30
900.0	J30
904.0	J30
908.0	J30
912.0	J30
916.0	J30
920.0	J30
924.0	J30
928.0	J30
932.0	J30
936.0	J30
940.0	J30
944.0	J30
948.0	J30
952.0	J30
956.0	J30
960.0	J30
964.0	J30
968.0	J30
972.0	J30
976.0	J30
980.0	J30
984.0	J30
988.0	J30
992.0	J30
996.0	J30
1000.0	J30
1004.0	J30
1008.0	J30
1012.0	J30
1016.0	J30
1020.0	J30
1024.0	J30
1028.0	J30
1032.0	J30
1036.0	J30
1040.0	J30
1044.0	J30
1048.0	J30
1052.0	J30
1056.0	J30
1060.0	J30
1064.0	J30
1068.0	J30
1072.0	J30
1076.0	J30
1080.0	J30
1084.0	J30
1088.0	J30
1092.0	J30
1096.0	J30
1100.0	J30
1104.0	J30
1108.0	J30
1112.0	J30
1116.0	J30
1120.0	J30
1124.0	J30
1128.0	J30
1132.0	J30
1136.0	J30
1140.0	J30
1144.0	J30
1148.0	J30
1152.0	J30
1156.0	J30
1160.0	J30
1164.0	J30
1168.0	J30
1172.0	J30
1176.0	J30
1180.0	J30
1184.0	J30
1188.0	J30
1192.0	J30
1196.0	J30
1200.0	J30
1204.0	J30
1208.0	J30
1212.0	J30
1216.0	J30
1220.0	J30
1224.0	J30
1228.0	J30
1232.0	J30
1236.0	J30
1240.0	J30
1244.0	J30
1248.0	J30
1252.0	J30
1256.0	J30
1260.0	J30
1264.0	J30
1268.0	J30
1272.0	J30
1276.0	J30
1280.0	J30
1284.0	J30
1288.0	J30
1292.0	J30
1296.0	J30
1300.0	J30
1304.0	J30
1308.0	J30
1312.0	J30
1316.0	J30
1320.0	J30
1324.0	J30
1328.0	J30
1332.0	J30
1336.0	J30
1340.0	J30
1344.0	J30
1348.0	J30
1352.0	J30
1356.0	J30
1360.0	J30
1364.0	J30
1368.0	J30
1372.0	J30
1376.0	J30
1380.0	J30
1384.0	J30
1388.0	J30
1392.0	J30
1396.0	J30
1400.0	J30
1404.0	J30
1408.0	J30
1412.0	J30
1416.0	J30
1420.0	J30
1424.0	J30
1428.0	J30
1432.0	J30
1436.0	J30
1440.0	J30
1444.0	J30
1448.0	J30
1452.0	J30
1456.0	J30
1460.0	J30
1464.0	J30
1468.0	J30
1472.0	J30
1476.0	J30
1480.0	J30
1484.0	J30
1488.0	J30
1492.0	J30
1496.0	J30
1500.0	J30
1504.0	J30
